        Sim_Code  PCR_Mass   Lab  NShows  PCR_EMin  PCR_EMax  PCR_ThMin  PCR_ThMax  Det_S
0  Corsika-77500         1  BUAP    1000         9        11          0         25    1.0
       iClst  nShow  NPart         CCode  sCCode  NGam  NEle  NMu  ftP_ID  ltP_ID         dXm         dYm         dRm         sRm           Tmin          dT             Tm            sT          Px         Py          Pz         Ene      Theta     sTheta        Phi         dE/dS         dE/dT        dE/dTS    Thermy
1145   105.0   11.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0  256.703357 -176.391321  311.465105  221.133124   23133.246988    0.033537   23133.263756  2.371417e-02   -0.065604  -0.026162    0.192116    0.204729  20.185191   1.106684  21.741108  4.186690e-06  8.633540e+00  1.765555e-04  0.020578
1216   176.0   11.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -304.170747   52.071156  308.595607   29.705652   22728.811120    0.013869   22728.818055  9.806535e-03   -0.059821  -0.042350    0.290297    0.299417  14.169992   1.575082  35.296273  3.393112e-04  3.053550e+01  3.460404e-02  0.028349
1245   205.0   11.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     1.0 -217.741246 -138.931977  258.289265  419.608093   22730.693223    0.012412   22730.697363  7.164359e-03   -0.197663  -0.160947    1.061602    1.091779  13.501663   3.849918  39.154223  6.200790e-06  1.524116e+02  8.656261e-04  0.069052
1246   206.0   11.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  289.113981  109.930378  309.308231  418.970349   22731.263188    0.040773   22731.283574  2.883078e-02   -0.135540  -0.109744    0.722092    0.742854  13.577945   5.917619  38.996547  4.231917e-06  2.576691e+01  1.467898e-04  0.106063
1249   209.0   11.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -106.302719   10.135225  106.784788  704.166073   22731.145795    0.284117   22731.287854  2.009009e-01   -0.033124  -0.026512    0.172520    0.177665  13.816562   3.091266  38.673527  3.583040e-07  8.843457e-01  1.783495e-06  0.055533
1269   229.0   11.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  -46.368355 -256.655493  260.810403  191.719076   22731.311432    0.121261   22731.372062  8.574463e-02   -0.140555  -0.124327    0.706512    0.731027  14.874468   8.582050  41.494028  1.988853e-05  8.525728e+00  2.319534e-04  0.154399
1413    37.0   13.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  -12.507238  185.053015  185.475198  234.566028   42431.225127    0.015683   42431.232969  1.108935e-02    0.042319   0.017027    0.511040    0.513108   5.100716   0.756058  21.917355  9.325642e-06  4.627452e+01  8.410305e-04  0.013248
1414    38.0   13.0    3.0  3.000000e+00     1.0   3.0   0.0  0.0     1.0     1.0    9.899709 -138.512493  138.865816  144.766591   42431.395294    0.036105   42431.416568  1.889539e-02    0.047860   0.024302    0.579678    0.582166   5.290274   0.989054  26.920005  2.777861e-05  3.081161e+01  1.470204e-03  0.017335
1423    47.0   13.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0 -283.216590   -7.527937  283.316619  101.580407   42432.377278    0.009061   42432.381808  6.407048e-03    0.124521   0.063269    1.454943    1.461646   5.483532   2.426404  26.935042  1.416519e-04  2.281665e+02  2.211220e-02  0.042531
1429    53.0   13.0    6.0  1.005000e+03     2.0   5.0   1.0  0.0     3.0     1.0 -104.450368 -341.730794  357.337117   90.455691   42439.074641    0.088301   42439.109409  3.738402e-02    1.524409   0.887842   16.573646   16.667268   6.075728   1.671586  30.217259  2.037008e-03  4.458513e+02  5.449019e-02  0.029335
1474     4.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  353.198756  252.374017  434.099073  155.196828   57579.709866    0.146336   57579.783034  1.034750e-01   -0.043325   0.033018    0.126069    0.137379  23.368149   2.694945 -37.311044  5.703691e-06  1.327670e+00  5.512195e-05  0.051220
1492    22.0   14.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     2.0  209.796959   54.881027  216.856383  409.947211   57452.072871    0.017656   57452.081699  1.248501e-02   -0.191534   0.087687    0.504839    0.547041  22.649123  10.248266 -24.598814  3.255096e-06  4.381933e+01  2.607413e-04  0.192781
1494    24.0   14.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -125.162854 -164.934195  207.048373  120.103023   57455.018474    0.027185   57455.032067  1.922274e-02   -0.406546   0.193321    1.001842    1.098354  24.196377   8.487017 -25.432028  7.614381e-05  5.714125e+01  3.961337e-03  0.161800
