Shower	Energy	Zfirst	Theta	Phi	Particles
265	1000	1.45538e+06	0.316879	3.01976	42
266	1000	2.40936e+06	0.167334	1.72367	57
267	1000	1.53441e+06	0.253398	1.93158	47
268	1000	1.87949e+06	0.212658	-1.86476	640
269	1000	2.81681e+06	0.427352	0.933993	16
270	1000	2.43871e+06	0.393484	-0.950338	37
271	1000	2.01497e+06	0.171515	1.75829	38
272	1000	1.50965e+06	0.406636	2.78242	72
273	1000	1.19263e+06	0.435061	-0.261022	307
274	1000	2.98131e+06	0.245852	-0.591324	40
275	1000	1.61663e+06	0.396217	-1.60912	93
276	1000	2.69763e+06	0.379757	-1.01321	55
277	1000	3.0315e+06	0.228699	1.11665	79
278	1000	2.79588e+06	0.2874	-0.0631164	13
279	1000	1.65559e+06	0.405488	-0.174809	66
280	1000	2.73432e+06	0.382878	-0.40511	56
281	1000	1.44073e+06	0.32805	-2.5817	47
282	1000	2.29135e+06	0.16453	0.011856	25
283	1000	3.01124e+06	0.339057	2.28275	20
284	1000	2.76865e+06	0.404104	2.36654	6
285	1000	3.01335e+06	0.448965	0.137574	33
286	1000	1.19364e+06	0.43917	-3.03939	208
287	1000	2.28909e+06	0.121448	-1.93116	46
288	1000	3.49018e+06	0.257328	-1.19788	18
289	1000	1.55562e+06	0.244531	-2.86242	57
290	1000	1.9023e+06	0.341071	0.631414	21
291	1000	1.55592e+06	0.316633	0.546907	63
292	1000	2.49336e+06	0.36773	-1.79835	24
293	1000	2.22159e+06	0.247858	1.04108	43
294	1000	1.16472e+06	0.0754637	1.40505	83
295	1000	818903	0.157585	0.0486903	337
296	1000	2.36329e+06	0.447603	0.777443	18
297	1000	1.61195e+06	0.382074	1.45364	45
298	1000	1.6071e+06	0.068774	-2.98592	68
299	1000	2.07741e+06	0.359522	-0.262421	34
300	1000	2.89243e+06	0.0600933	-0.8591	43
301	1000	2.21333e+06	0.37713	-0.770803	29
302	1000	1.54328e+06	0.443066	1.94397	35
303	1000	2.85454e+06	0.119988	1.24107	23
304	1000	3.07904e+06	0.30245	2.61951	11
305	1000	1.74592e+06	0.325704	1.67894	35
306	1000	2.09702e+06	0.0577289	-2.40587	27
307	1000	1.91721e+06	0.418858	-0.288197	23
308	1000	2.30027e+06	0.0486633	-1.48312	21
309	1000	1.53042e+06	0.408751	-1.7935	127
310	1000	1.5549e+06	0.417675	-2.11112	37
311	1000	763882	0.315339	-2.54226	482
312	1000	2.99592e+06	0.299371	1.70591	42
313	1000	2.58749e+06	0.372387	2.87433	35
314	1000	2.44986e+06	0.450248	0.0943225	41
315	1000	1.61538e+06	0.122712	-0.922106	53
316	1000	3.57882e+06	0.387392	-1.54019	12
317	1000	2.53357e+06	0.398246	0.249505	19
318	1000	4.39443e+06	0.385175	-0.321905	30
319	1000	949881	0.161098	1.046	187
320	1000	2.0528e+06	0.239099	-0.79429	137
321	1000	971539	0.291506	-2.30733	97
322	1000	2.60189e+06	0.122119	1.67521	62
323	1000	1.87896e+06	0.275618	0.894904	56
324	1000	2.77617e+06	0.402626	0.858718	31
325	1000	1.72376e+06	0.43608	-2.61442	39
326	1000	1.87538e+06	0.299009	1.31549	115
327	1000	2.87789e+06	0.185358	1.30297	20
328	1000	725585	0.302208	0.615863	507
329	1000	2.40253e+06	0.330322	2.46074	29
330	1000	1.798e+06	0.294477	2.88774	34
331	1000	4.39765e+06	0.300479	-0.641952	11
332	1000	2.41707e+06	0.31194	2.39281	34
333	1000	1.87858e+06	0.341439	2.42717	25
334	1000	1.8858e+06	0.195666	1.2471	17
335	1000	1.07799e+06	0.414334	1.23895	94
336	1000	1.99884e+06	0.373582	-0.331836	543
337	1000	2.39292e+06	0.438921	-0.841825	31
338	1000	1.3821e+06	0.115868	0.850886	53
339	1000	2.51493e+06	0.387133	0.157873	68
340	1000	1.06425e+06	0.354925	-2.27437	50
341	1000	4.27985e+06	0.364867	3.12888	62
342	1000	2.45946e+06	0.407503	-2.37283	17
343	1000	1.27577e+06	0.330832	-0.673925	26
344	1000	1.13666e+06	0.274105	3.072	117
345	1000	4.44914e+06	0.277	-1.32546	39
346	1000	1.51562e+06	0.439099	-2.29043	363
347	1000	1.96585e+06	0.163258	3.13755	58
348	1000	2.25752e+06	0.361363	-1.06307	358
349	1000	2.34769e+06	0.420979	2.52517	49
350	1000	1.4867e+06	0.270162	1.83949	40
351	1000	1.99837e+06	0.392306	-2.9967	119
352	1000	2.20008e+06	0.411804	-0.560753	140
353	1000	1.81143e+06	0.383392	-1.60142	38
354	1000	1.64775e+06	0.393107	-1.92393	30
355	1000	2.72784e+06	0.417789	-1.8828	39
356	1000	2.17526e+06	0.253981	-1.37208	42
357	1000	1.80647e+06	0.38725	-0.813305	43
358	1000	1.41326e+06	0.431967	0.322793	33
359	1000	1.65789e+06	0.0924546	2.39778	52
360	1000	3.53407e+06	0.321721	0.134578	16
361	1000	2.79602e+06	0.417389	-2.54838	18
362	1000	3.47346e+06	0.253922	-2.5049	13
363	1000	4.65356e+06	0.107766	-1.57894	59
364	1000	2.28619e+06	0.396061	-1.70055	29
365	1000	1.82721e+06	0.290787	-1.79407	337
366	1000	2.80968e+06	0.22142	-1.93096	179
367	1000	1.98623e+06	0.269513	-0.149671	32
368	1000	2.20332e+06	0.428302	2.89934	26
369	1000	1.67567e+06	0.267787	1.08691	40
370	1000	2.44399e+06	0.0866068	-2.93764	55
371	1000	1.69321e+06	0.388932	-2.14846	40
372	1000	1.49204e+06	0.44964	0.844888	56
373	1000	1.23924e+06	0.224841	1.50982	137
374	1000	2.71272e+06	0.317162	-2.21755	19
375	1000	1.78617e+06	0.218172	-2.47813	52
376	1000	2.71141e+06	0.236031	-3.07574	45
377	1000	1.89858e+06	0.284893	2.42806	78
378	1000	3.88473e+06	0.346165	1.94814	85
379	1000	2.26374e+06	0.400777	-1.94865	19
380	1000	2.91234e+06	0.129991	1.54113	23
381	1000	2.27059e+06	0.112372	-1.13702	43
382	1000	1.63351e+06	0.402757	2.41518	58
383	1000	2.15666e+06	0.214922	-2.66043	43
384	1000	2.09843e+06	0.387846	2.3964	107
385	1000	3.15423e+06	0.0649359	0.470375	31
386	1000	2.12229e+06	0.231622	2.40123	25
387	1000	1.25065e+06	0.352397	-2.50926	63
388	1000	1.04558e+06	0.365583	-0.872172	122
389	1000	1.91101e+06	0.395841	-0.00888003	49
390	1000	2.18811e+06	0.35072	0.589226	28
391	1000	1.37622e+06	0.180346	1.79596	35
392	1000	620628	0.238222	0.641861	315
393	1000	2.95957e+06	0.11037	0.993061	354
394	1000	1.73441e+06	0.271361	1.91743	23
395	1000	1.30037e+06	0.295689	3.00855	108
396	1000	3.29423e+06	0.255084	-0.474303	93
397	1000	1.92625e+06	0.248448	0.850048	34
398	1000	2.59748e+06	0.329658	-2.38191	14
399	1000	2.2718e+06	0.161253	-1.22735	30
400	1000	2.10419e+06	0.317502	0.121078	275
401	1000	1.85853e+06	0.42397	-0.37922	52
402	1000	1.23878e+06	0.427927	-0.248703	90
403	1000	2.36405e+06	0.169634	-2.59423	40
404	1000	1.98406e+06	0.319955	-0.000248627	132
405	1000	3.33604e+06	0.249223	2.0408	15
406	1000	2.07519e+06	0.434102	1.56228	39
407	1000	2.02437e+06	0.406461	2.22619	33
408	1000	1.5273e+06	0.444976	2.87808	39
409	1000	2.0237e+06	0.347612	-1.56955	86
410	1000	2.44157e+06	0.430822	-0.275683	7
411	1000	2.87076e+06	0.413035	0.459065	22
412	1000	1.98844e+06	0.415405	-0.810744	27
413	1000	1.63059e+06	0.415553	1.08256	106
414	1000	1.7122e+06	0.264189	-2.63209	22
415	1000	2.69301e+06	0.230943	-2.20691	19
416	1000	1.2093e+06	0.0767397	2.81279	200
417	1000	2.49358e+06	0.405909	0.469052	40
418	1000	1.56765e+06	0.293281	-2.6439	68
419	1000	2.24603e+06	0.367162	-1.84832	61
420	1000	1.65427e+06	0.420311	0.664412	394
421	1000	2.9333e+06	0.402716	-2.69798	24
422	1000	3.35934e+06	0.356986	0.0829967	45
423	1000	2.33518e+06	0.292589	-0.325606	35
424	1000	1.7018e+06	0.26605	2.33328	44
425	1000	1.32406e+06	0.109022	2.77885	118
426	1000	2.27479e+06	0.215502	-0.0515645	30
427	1000	1.88789e+06	0.338095	0.696192	43
428	1000	3.0979e+06	0.183587	-2.72002	23
429	1000	2.13386e+06	0.321563	-1.60289	36
430	1000	1.75927e+06	0.34993	-1.07179	87
431	1000	1.55388e+06	0.12284	-1.36388	46
432	1000	1.7667e+06	0.442522	2.15434	69
433	1000	2.50359e+06	0.364294	-1.78155	35
434	1000	1.17932e+06	0.123912	2.73843	169
435	1000	3.91211e+06	0.420585	-0.806486	10
436	1000	3.07857e+06	0.325291	0.642676	19
437	1000	2.69581e+06	0.430678	-0.734101	26
438	1000	2.80096e+06	0.388623	0.323532	74
439	1000	3.25229e+06	0.190524	2.3419	34
440	1000	1.62535e+06	0.247663	2.19735	38
441	1000	2.11247e+06	0.293471	1.70607	50
442	1000	1.68239e+06	0.409387	-1.22965	24
443	1000	1.01665e+06	0.420206	3.1166	150
444	1000	1.43478e+06	0.337656	-0.530876	65
445	1000	1.78188e+06	0.345288	-2.20963	40
446	1000	1.69982e+06	0.120862	0.6909	61
447	1000	1.86988e+06	0.387423	1.8519	64
448	1000	2.80937e+06	0.276052	2.45865	111
449	1000	1.88733e+06	0.280243	0.3216	50
450	1000	1.64438e+06	0.420918	1.67315	26
451	1000	2.05513e+06	0.36504	0.0181667	83
452	1000	2.18353e+06	0.350778	-2.72666	22
453	1000	1.99039e+06	0.210133	2.4321	71
454	1000	1.38971e+06	0.272513	-1.68798	324
455	1000	1.94343e+06	0.412105	1.17396	21
456	1000	1.94465e+06	0.315145	-2.56553	41
