N. sh	P. id	x (m)	y (m)	t (ns)	px (GeV/c)	py (GeV/c)	pz (GeV/c)	Psq (GeV)	ek (GeV)	zha (°)	aza (°)
136	2	427.705	19.6557	76975.2	-0.0159349	-0.0320451	0.0678394	0.00588299	0.0761913	27.8137	-116.44
136	3	424.4	22.589	76973.5	-0.0775014	-0.159062	0.404487	0.194917	0.440983	23.6265	-115.977
136	1	446.911	36.1546	76947.7	-0.00740608	-0.0232663	0.0573137	0.00388103	0.0622979	23.0748	-107.657
136	1	462.327	124.202	76839.7	-0.00726222	-0.0239034	0.0739329	0.00609019	0.0780396	18.6703	-106.9
136	1	428.092	64.6816	76920.1	-0.00869956	-0.0213854	0.0558327	0.00365031	0.0604178	22.4654	-112.136
136	1	423.08	46.6725	76944.8	-0.0309975	-0.0824743	0.193614	0.0452493	0.212719	24.4686	-110.598
136	2	411.092	297.641	76741.6	-0.0195334	-0.0217632	0.0919487	0.00930975	0.0959774	17.6429	-131.909
136	13	699.621	560.246	77831.5	0.0198178	-0.0573834	1.20574	1.45749	0.59023	2.88242	-70.9472
139	1	-2039.05	293.051	48142.9	0.000203861	0.00192309	0.079463	0.0063181	0.0794865	1.39412	83.9489
139	1	-2092.53	365.162	48166.2	-0.00130995	0.0101301	0.0594873	0.00364308	0.0603579	9.74317	97.3682
139	1	-2092.83	350.804	48159.8	-0.0197715	0.0271996	0.30576	0.0946197	0.307603	6.27596	126.014
139	1	-2104.93	394.788	48182.4	-0.00880142	0.0159985	0.0856259	0.0076652	0.0875512	12.038	118.817
139	3	-2107.67	394.503	48183.4	-0.0164087	0.0254835	0.115583	0.0142781	0.118981	14.6938	122.777
141	6	-931.734	1954.82	42073.1	0.0655706	0.172311	0.323788	0.138829	0.281631	29.6572	69.1663
142	1	-246.135	1097.19	60161.9	-0.0542639	-0.0243821	0.168731	0.0320093	0.178911	19.4212	-155.804
143	1	-46.2327	-539.191	77029.7	-0.00328095	0.000611744	0.0581279	0.00338999	0.0582236	3.28611	169.438
143	1	148.128	-701.821	77023.5	0.0233238	-0.0353701	0.744557	0.55616	0.745762	3.25682	-56.5983
143	6	-584.717	-197.266	77559.8	-0.144876	0.0888603	0.52353	0.302969	0.454817	17.9853	148.477
143	13	170.529	-828.961	78892	0.124316	-0.230778	1.00666	1.08209	0.462173	14.5955	-61.6895
143	1	395.927	220.394	77653.3	0.00903123	0.0400751	0.0607673	0.00538024	0.0733501	34.0596	77.3001
143	1	392.618	193.89	77612.3	0.0260431	0.0635002	0.16122	0.0307026	0.175221	23.06	67.7002
143	2	391.871	192.854	77610.7	0.119476	0.296126	0.794004	0.732407	0.855297	21.9082	68.0278
143	1	414.103	76.2325	77489.6	0.00873342	0.0171926	0.0507156	0.00294393	0.054258	20.8184	63.0706
143	1	389.813	47.0682	77449.9	0.0250469	0.0554222	0.203764	0.0452185	0.212647	16.6193	65.6804
143	1	402.046	78.0191	77486.4	0.00804137	0.0274267	0.0819832	0.00753814	0.0868224	19.2197	73.6591
143	1	445.694	100.364	77537.2	0.022706	0.0385292	0.0936775	0.0107755	0.103805	25.52	59.4884
143	1	429.927	74.5249	77496.9	0.0666482	0.111801	0.333316	0.128041	0.357829	21.3305	59.1995
143	1	406.633	88.236	77498.4	0.0668396	0.139853	0.401774	0.185449	0.430638	21.0966	64.4556
143	1	407.916	92.6522	77503.9	0.0145117	0.0307787	0.0869875	0.00872475	0.0934064	21.3647	64.7569
143	2	427.938	60.2496	77481.5	0.0137035	0.0205896	0.0757729	0.00635325	0.0791979	18.0772	56.354
143	1	388.84	87.6926	77494.4	-0.00133167	0.0331873	0.102289	0.0115662	0.107546	17.989	92.2978
143	1	409.447	101.446	77515	0.0104218	0.0228395	0.0604623	0.00428595	0.0654671	22.549	65.4726
143	5	1744.37	-51.6595	79270.1	0.458371	0.16166	0.589911	0.584233	0.665961	39.486	19.4269
143	13	966.203	-636.664	79683.8	0.444973	-0.0555564	0.969972	1.14193	0.48336	24.8116	-7.11674
146	13	866.671	862.46	74148	0.189072	-0.306499	1.31497	1.85884	0.716221	15.3157	-58.3305
152	3	-1402.41	1019.53	73701.6	-0.0346483	-0.00549807	0.0502493	0.00375572	0.0607751	34.921	-170.983
152	1	-326.357	687.152	73148.5	0.0258243	-0.0156811	0.0794429	0.00722397	0.0849939	20.822	-31.2671
152	3	-338.86	680.464	73141.6	0.0378427	-0.035103	0.156677	0.0272119	0.16445	18.2343	-42.8492
152	13	-1295.87	1692.8	76551.8	-0.338543	0.78766	0.217138	0.782168	0.350764	75.7875	113.258
152	14	-1105.78	1088.64	74017.5	-0.400347	0.0816373	0.895954	0.969676	0.421886	24.5146	168.474
152	14	-1861.17	566.542	76079.9	-1.08324	-0.307372	0.793111	1.8969	0.728239	54.8406	-164.159
159	5	835.063	-1925.83	73916.6	0.110459	1.04164	7.10453	51.5715	7.07645	8.38716	83.9468
164	1	5663.95	3976.39	69979.2	0.0399916	0.0494105	0.0892486	0.012006	0.109572	35.4601	51.0142
164	1	-244.026	-2339.31	63126.9	-0.00301685	-0.00648198	0.225215	0.0507728	0.225328	1.81829	-114.958
164	5	-1089.87	-2335.48	63300.2	-0.0686546	-0.0069206	0.702401	0.498128	0.607988	5.61063	-174.244
164	5	69.9095	-866.89	63128.6	-0.129928	0.396381	6.71599	45.2786	6.62411	3.55408	108.148
165	5	-646.055	-353.929	16733.7	0.317599	-0.00730745	0.399386	0.260431	0.41549	38.4998	-1.31805
165	3	-750.905	-357.123	16643.1	-0.0522483	-0.015264	0.268199	0.0748936	0.273157	11.4726	-163.715
165	2	-751.985	-358.211	16644	-0.094067	-0.0308032	0.428273	0.193216	0.439052	13.0136	-161.868
165	13	-711.329	-412.691	16849.8	0.135112	-0.488648	0.880607	1.0325	0.444373	29.9299	-74.5437
165	13	-763.822	-323.388	16743	-0.414285	0.315404	1.32501	2.02677	0.766177	21.4531	142.717
167	5	1338.58	-757.533	50527.6	0.283282	0.0194212	0.828611	0.767222	0.776603	18.9155	3.92193
171	5	1604.34	-1241	71154.7	-0.0282045	0.145123	0.873584	0.785005	0.786625	9.60529	100.998
174	13	457.183	164.696	54724.2	-0.154302	0.598684	0.838853	1.08591	0.463534	36.3908	104.453
175	5	-1721.56	337.811	51400.2	-0.513881	-0.754456	1.36649	2.70057	1.54108	33.7437	-124.26
181	5	173.536	393.639	67865.5	0.0785287	-0.0197435	0.49406	0.250651	0.40602	9.30759	-14.1126
186	13	5253.39	1631.53	63179.1	0.550071	0.170789	0.716603	0.845268	0.374988	38.7908	17.2488
188	6	-25.7919	178.722	51935.5	-0.0814463	-0.4247	2.19683	5.01308	2.13582	11.1361	-100.856
188	5	-1453.07	83.3649	52353.8	-0.36581	-0.714586	2.7319	8.10772	2.74371	16.3756	-117.109
193	6	-647.391	3868.47	115756	0.099595	-0.111845	0.743981	0.575936	0.660566	11.3814	-48.3158
196	5	28.8922	2145.05	49085.9	-0.0890831	1.05914	2.03765	5.28173	2.19497	27.5476	94.8077
196	5	-557.611	-2324.08	45368.2	-0.0707824	0.0193402	0.358201	0.133692	0.274941	11.5768	164.718
200	5	-1503.61	1279.78	39861.8	0.14702	-0.576687	3.53031	12.8173	3.47603	9.56883	-75.6978
205	5	254.858	281.324	55536.6	0.0275888	-2.33795	4.92119	29.6849	5.34375	25.4129	-89.3239
205	5	-2728.3	560.121	56225.1	-0.221401	-0.633136	1.16236	1.80095	1.24049	29.9868	-109.274
207	5	644.102	-1149.46	61454.9	-0.280097	-0.190726	1.22182	1.60766	1.16667	15.5012	-145.748
207	6	-1006.89	282.107	63387.6	-0.535324	0.15817	0.973614	1.25951	1.02159	29.8269	163.539
207	1	130.952	-395.336	61725.9	-0.018944	0.000178147	0.07057	0.00533903	0.0730687	15.027	179.461
207	6	389.918	86.1256	61664.7	-0.148631	0.0464441	0.581349	0.362215	0.505389	14.9951	162.647
207	6	2059.25	595.04	61871.3	0.124661	0.0827553	0.410298	0.190733	0.343671	20.0361	33.5779
210	6	-835.923	-1909.84	76573.3	-0.353093	-0.157667	1.1747	1.52945	1.13556	18.2209	-155.938
210	14	868.491	1442.18	77085.2	0.00392952	0.611733	1.97713	4.28329	1.33409	17.1926	89.632
214	6	-748.034	1809.39	73318	-0.713945	-0.224411	2.06092	4.80747	2.08948	19.9575	-162.551
215	6	-83.0363	-134.896	12406.3	-0.156021	-0.142804	0.804039	0.691215	0.732422	14.7381	-137.532
216	6	-552.521	714.551	38053	-0.0313791	-0.151148	2.56742	6.61548	2.46857	3.44088	-101.728
217	5	91.7735	714.835	43042.1	0.211632	0.148052	1.54779	2.46235	1.46708	9.47361	34.9755
223	5	759.528	-56.1311	49829.7	0.783109	-0.962141	2.53297	7.9549	2.71676	26.0939	-50.857
223	6	233.726	453.966	48848.1	1.56082	-1.87405	6.04411	42.4794	6.41282	21.9749	-50.2104
223	6	-147.603	-149.113	49178.6	0.850287	-1.40567	4.00221	18.7165	4.22189	22.3173	-58.8304
223	5	-654.53	-888.185	49744.5	0.45519	-1.10444	2.41895	7.27833	2.59425	26.2819	-67.6013
224	1	2185.48	816.741	49344.7	0.0208359	-0.0488127	0.145149	0.0238849	0.154547	20.085	-66.8846
224	6	-1085.11	633.58	49894.4	-0.115037	-0.163934	0.683362	0.507092	0.614241	16.334	-125.058
230	6	104.075	450.183	102055	-6.45699	-3.33081	19.8725	447.702	21.0536	20.0826	-152.713
234	5	-1185.64	-649.489	42290.4	0.0223845	0.0353738	1.10717	1.22758	1.00733	2.16528	57.6744
234	5	-799.227	-806.843	42303.5	0.0801642	0.0606118	1.04793	1.10827	0.952372	5.47804	37.0928
235	6	-780.013	173.01	53148.2	0.0461844	-0.233703	1.10454	1.27676	1.02921	12.1709	-78.8212
237	5	193.17	-263.72	53443.2	-0.557535	-0.453149	2.85447	8.66417	2.83973	14.1278	-140.897
242	6	-177.493	-72.4546	78337.8	4.08707	0.605123	10.2675	122.493	10.9625	21.9197	8.42192
242	6	2142.44	1454.12	82737.6	1.2099	0.445991	1.69632	4.54026	2.02775	37.2409	20.2347
244	5	816.63	-515.356	87175.9	-0.136627	1.77821	6.70347	48.1173	6.83181	14.8984	94.3936
