N. Shower	Energy (GeV)	Zfirst (km)	Theta (°)	Phi (°)	N. Particles
1632	68.2023	12.4689	11.8067	173.806	11
1633	18.4317	14.0629	17.7833	-168.743	1
1634	28.3281	10.1955	25.7589	-27.8284	3
1639	50.3028	30.0629	8.65974	-28.3078	1
1641	49.4243	9.26061	24.8223	71.7356	1
1643	13.8009	12.7489	15.5066	42.3153	2
1651	15.0131	25.8329	15.892	26.8823	1
1654	81.9328	15.0253	14.9598	-165.587	6
1655	14.5753	19.4368	14.6734	138.019	2
1659	12.5637	16.6514	17.148	-143.818	1
1661	11.3124	28.5586	8.98511	-19.4758	1
1662	26.345	17.872	24.7887	154.734	1
1665	20.3807	15.5154	20.9688	-103.593	1
1666	38.8826	23.7851	6.21498	31.2711	1
1676	36.4556	20.3969	6.09659	117.093	1
1678	26.5038	41.184	16.6945	-28.2852	1
1681	25.595	10.0827	6.77722	-123.16	3
1683	52.3863	20.7462	10.0621	-52.3144	3
1687	17.7187	29.9196	23.9522	-1.22947	1
1694	38.1763	19.5617	16.7562	-89.0019	1
1698	40.041	25.9791	2.25275	-75.8434	3
1708	23.9458	22.8786	23.1866	24.08	1
1709	58.5919	22.7361	25.4291	176.652	1
1711	44.3791	11.5971	21.8904	48.4526	1
1712	14.0324	28.5457	17.7121	-53.9676	1
1713	10.4036	12.7595	22.8459	90.2126	6
1716	29.1043	12.1074	19.6747	109.904	1
1718	25.4196	14.6628	19.1427	-18.5411	2
1720	22.7261	8.64495	24.6667	164.761	6
1721	24.6344	23.4943	16.9372	146.432	4
1722	30.2931	21.0688	24.5495	-1.15809	1
1724	18.3096	15.4904	13.0172	167.611	1
1725	91.9184	18.0829	13.4785	-68.305	13
1727	39.5536	19.6759	13.7849	101.403	1
