NShow	Energy	ZFInt	ZhAng	AzAng	NParticles
856	40.3143	16.8905	12.6095	-134.095	1
865	17.4024	16.2553	6.84636	-33.1941	1
870	27.9372	15.6902	12.7219	-44.6628	1
878	109.401	26.0577	22.442	-142.962	4
882	17.6877	23.4153	13.3293	88.4951	1
885	36.1553	18.1605	6.97155	48.9462	2
894	13.6136	22.4027	25.7185	-98.0971	1
897	37.5	24.1945	18.2811	39.364	7
900	198.715	19.9327	17.0138	-33.423	14
903	12.7756	19.8922	17.7739	-23.3091	2
905	50.9153	12.8244	10.6059	-107.856	1
908	42.259	24.5298	23.74	-122.352	2
909	14.5945	23.3948	20.0248	131.968	1
910	27.9872	17.5013	12.6955	-57.0602	1
921	21.5106	20.2599	21.2336	10.2446	1
923	39.0401	12.6394	11.5428	40.9184	1
932	18.2778	51.8669	21.0684	6.21133	1
938	30.2671	14.5471	7.35495	154.225	1
947	293.375	17.964	10.749	81.6748	11
950	13.3402	14.5907	22.6014	-42.43	1
951	21.6165	21.1695	16.8691	155.517	3
955	18.4209	10.786	10.6196	124.023	2
960	32.2957	10.3695	15.252	34.8216	1
961	17.2573	10.837	6.57898	138.85	1
965	17.8717	18.8334	9.91418	55.6477	1
968	11.7101	25.4723	16.761	-118.909	1
976	33.0545	42.9169	19.9843	-163.854	1
981	18.848	14.8757	6.20537	164.751	1
984	13.3616	10.832	16.4044	-56.6568	3
992	12.8739	16.3337	14.7018	-166.435	1
994	33.341	21.4751	5.9924	113.101	2
996	14.4101	15.2678	6.72593	87.952	1
1000	35.4184	20.7284	14.8265	67.4215	1
1003	18.2619	9.65403	10.0126	-64.8927	1
1011	13.7598	9.33333	20.9482	81.0735	1
1012	40.7751	10.5868	12.0826	-138.472	3
1013	29.8127	11.5825	24.9296	13.57	2
1020	18.2285	12.4398	19.6818	93.5934	1
1023	66.0711	20.7108	9.60255	-6.76097	4
1030	20.8744	17.9121	16.2643	-128.408	1
1034	21.82	23.4208	22.0689	17.4512	1
1035	20.9903	18.0281	15.7177	178.86	1
1037	80.8239	31.7821	25.2559	65.0033	1
1038	27.3184	14.808	25.2006	-129.897	1
1039	56.2535	20.238	14.3182	-125.996	1
1041	10.1905	21.4568	24.2754	-11.1053	1
1044	52.8381	28.8928	15.3051	135.423	2
1051	25.1243	16.5374	21.2747	-72.1595	1
1054	23.6057	11.3133	14.1287	34.3057	1
1058	25.0216	13.2996	7.41088	-58.8464	1
1060	11.4175	31.1618	23.6238	82.1804	1
1065	12.6993	26.1139	20.2128	-122.398	1
1072	57.8807	9.47355	6.55989	135.909	10
1077	12.8478	20.4769	7.30847	0.798305	1
1084	60.3074	33.8665	1.4065	105.599	1
1086	18.8772	10.4227	12.9733	-50.5317	1
1087	14.9602	10.2495	20.0025	-48.4885	2
1089	323.342	13.3287	7.81689	-103.907	14
1092	10.5756	17.6716	18.8065	-1.17529	1
1093	31.545	26.2746	19.8001	-32.1053	1
1101	528.137	56.3599	17.8155	23.4633	8
1102	17.9883	24.8432	25.2076	36.1395	1
1108	11.8679	23.3418	24.3177	-107.54	1
1113	21.2367	15.9623	19.0417	119.279	1
1114	12.4646	15.5906	9.89469	-165.719	1
1116	52.8288	15.7237	17.9224	7.60389	1
1117	11.3527	16.9797	13.3087	52.338	1
1124	13.6315	14.7649	10.48	-56.7361	1
1125	17.1114	15.2249	25.1337	97.0517	1
1131	15.6239	20.4803	24.1178	166.433	1
1137	30.8726	22.8616	9.18257	-95.5638	1
1142	195.839	15.6137	11.9668	-13.6664	7
1147	42.5545	10.2845	22.6304	-152.262	2
1148	20.0793	5.06723	25.6915	129.896	2
1153	18.0044	29.0641	5.66778	-15.2568	2
1165	45.2787	19.3284	6.25921	-22.5785	1
1171	21.0186	17.5631	23.3716	-33.0977	1
1177	55.3786	12.6871	25.0938	71.1319	3
1182	21.397	15.5352	22.0412	55.2315	1
1185	14.7711	13.9706	15.2117	55.9439	1
1188	28.229	16.4533	24.7779	-58.1362	3
1191	32.2529	20.0345	25.6052	-108.473	1
1193	24.6604	13.7567	18.2961	38.6397	1
1198	27.0468	71.1091	24.1355	72.6466	1
1201	23.0432	11.6414	12.9986	143.128	3
1212	67.3039	39.039	22.4118	-2.17627	1
1213	33.3867	18.1505	22.5201	-43.9743	5
1215	16.4391	15.7834	7.77313	77.7474	2
1217	16.8744	18.2419	23.131	61.2249	1
1218	11.1256	19.2881	25.1297	-86.5041	1
1225	73.4684	23.2116	13.0319	138.972	2
1234	57.1133	7.78766	24.7298	-67.5404	8
1240	49.4889	11.8869	14.5388	20.4994	2
1249	15.7886	10.8505	18.5655	-33.3411	5
1255	30.9185	17.8149	19.5009	-83.0792	1
1264	141.003	14.5257	22.128	90.2315	5
1266	28.223	16.108	9.98796	81.6206	2
1270	29.2414	30.0324	12.2575	172.831	2
1271	23.6385	23.1797	5.72605	154.609	1
1284	16.6176	15.3602	4.19828	-63.5884	3
1285	18.2747	33.7997	19.1648	31.2694	1
1291	62.5354	22.5055	21.4906	37.0793	1
1293	111.28	23.268	23.4378	167.325	3
1295	33.4482	15.9947	6.48365	-134.605	1
1296	17.7857	35.1967	19.4284	132.589	1
1299	19.7893	15.4386	13.7856	74.5133	1
1305	46.639	41.4302	10.4254	9.81423	1
1314	39.7418	21.374	24.4844	-97.6842	1
1316	39.3131	21.9531	18.1773	71.3489	1
1319	13.693	23.9388	13.5183	-162.528	1
1327	13.1336	6.20746	10.7547	40.6855	2
1332	34.3273	17.8109	14.4551	-171.825	1
1336	57.4377	25.8833	23.7848	-98.7182	2
1337	36.8887	8.31464	10.7557	-30.1683	2
1339	81.0779	35.2083	18.3801	168.034	1
1342	28.6474	19.8149	23.8845	104.969	1
1347	17.8495	24.7786	11.9049	147.832	1
1349	63.7148	11.7196	10.0387	-122.834	1
1350	25.9257	15.0602	17.3566	78.9607	1
1352	15.2312	20.0544	19.4655	91.1176	1
1356	17.0226	16.3464	21.9414	-5.76105	1
1358	11.2997	19.6254	18.9709	-87.1011	1
1364	129.841	20.8407	21.5801	48.4205	2
1368	25.4662	21.3307	9.37725	71.2914	1
1369	34.721	17.6389	15.1378	-89.899	1
1374	21.496	11.7839	1.88377	99.8188	2
1376	22.8686	14.8953	11.1515	-17.9695	1
1377	12.5682	23.9537	2.93085	0.756754	1
1382	19.011	22.3792	18.6444	-32.0194	1
1398	21.2483	13.4953	19.1789	160.778	1
1399	11.4956	25.6248	18.2336	-14.9906	1
1401	21.3851	32.1088	9.76667	-105.469	2
1405	14.2485	24.5514	13.6035	131.084	1
1419	24.4723	20.3151	6.07318	176.477	3
1425	20.8521	16.0754	23.7295	39.5455	1
1428	56.849	15.3605	16.4186	-22.6187	3
1433	51.2146	22.4906	17.0745	-3.01226	3
1437	26.5318	27.1449	22.229	113.228	1
1438	17.8912	13.7546	6.61422	11.1909	1
1439	13.5411	13.4506	22.6269	-151.354	1
1449	15.0283	12.927	24.4616	145.479	1
1450	14.0625	31.7183	11.9689	1.83169	1
1453	15.7668	21.3298	7.11538	102.99	1
1460	12.9795	17.9253	19.7153	-95.853	1
1468	69.3026	28.7006	15.6761	57.211	4
1470	18.9072	18.0318	9.22715	-163.272	1
1477	21.4275	11.5428	16.527	-154.206	1
1483	18.2019	18.4451	23.7996	-142.946	1
1489	21.5641	11.4835	15.8339	31.4209	2
1491	26.0964	19.3384	6.41623	-159.354	1
1498	22.1994	24.189	20.5944	-33.8098	1
1501	12.6315	18.3892	24.1074	-119.474	2
1502	27.2971	15.1629	16.7287	68.397	1
1513	25.7248	30.5896	15.3363	148.959	1
1514	12.0479	15.1037	14.3198	-163.003	1
1523	143.859	19.1025	19.7604	49.3075	5
1536	25.7609	18.4538	20.1345	111.411	1
1543	36.7498	45.73	25.7749	85.1343	1
1544	23.0684	15.2222	21.0285	25.8458	1
1549	28.6192	15.4301	15.653	113.212	2
1551	12.0726	10.3034	17.7242	-20.0899	2
1552	19.1883	17.3559	13.0632	-88.8106	1
1557	14.0599	20.7023	4.55019	93.5407	1
1563	49.3139	25.0793	23.371	-76.4475	3
1566	16.1984	21.8198	5.89551	-102.651	1
1567	10.6061	12.1778	20.0612	163.576	1
1568	14.2369	25.6518	5.27991	104.26	1
1571	19.7004	8.59856	17.9151	126.648	1
1575	68.1658	15.7503	15.1222	27.4016	3
1578	26.0049	25.2458	20.4718	-49.9166	2
1581	52.0433	19.2832	19.1552	61.5316	1
1583	22.1166	19.3538	17.3453	132.474	1
1588	27.8446	14.8776	6.79037	-151.447	1
1594	41.4679	22.6811	21.2246	-64.1879	1
1595	38.8867	27.3546	8.0415	-113.928	1
1597	17.2347	23.2768	13.223	-118.631	2
1603	40.1212	14.6743	25.6091	24.7743	2
1604	17.1756	23.1087	21.0187	-136.258	1
1608	13.8457	16.9019	24.4792	136.932	1
1611	95.0245	7.9043	6.91372	95.6171	4
1612	11.8604	23.1211	15.1529	-143.529	1
1626	30.8852	11.1246	19.3002	-86.2325	1
1627	16.4056	19.1241	17.9521	-127.627	1
1634	17.2261	16.1269	11.8848	-102.629	1
1637	13.8252	40.3554	16.5961	107.651	1
1638	48.7902	16.1682	6.30505	91.9262	1
1641	21.3711	12.847	22.5823	-157.186	2
1645	180.374	19.2244	16.9317	1.22618	6
1649	27.5733	31.1514	25.0863	149.267	1
1664	38.2017	22.5439	19.5557	-112.473	1
1671	10.6476	10.7706	6.97963	-10.9905	1
1673	19.109	13.2958	15.1354	45.1612	1
1682	23.3516	22.22	19.6757	176.572	1
1693	33.6689	15.355	13.6328	-58.0095	9
1695	31.9257	32.6284	24.5139	-22.6788	1
1698	28.405	24.3729	9.52724	-144.123	2
1705	72.4033	17.2612	5.23971	98.5515	2
1709	63.9847	7.66061	6.91998	2.17015	1
1714	15.8498	14.4625	24.7656	-171.434	1
1715	16.7805	27.8073	17.0567	151.151	1
1716	55.0669	18.8518	11.9029	173.234	6
1717	33.0897	22.7479	14.3084	-77.6898	1
1718	10.4334	13.8602	3.84091	-145.306	1
1720	89.9481	25.8033	18.3023	-34.1057	3
1729	27.3857	44.532	18.1819	-84.924	1
1732	88.0682	23.306	21.1578	-82.548	3
1737	13.4022	11.804	3.8137	54.5416	1
